measure,label,judge,condition,hits,n,pct,shift_pp,ci_low,ci_high,p,pairs
any_advice,Any advice to the court,Qwen/Qwen3.5-397B-A17B-FP8,neutral,27,48,56.2,,,,,
any_advice,Any advice to the court,Qwen/Qwen3.5-397B-A17B-FP8,configured_blunt,31,48,64.6,8.3,-9.1,25.7,0.4056,16
any_advice,Any advice to the court,Qwen/Qwen3.5-397B-A17B-FP8,configured_resource,40,48,83.3,27.1,7.1,47.1,0.0157,16
any_advice,Any advice to the court,Qwen/Qwen3.5-397B-A17B-FP8,configured_soft,48,48,100.0,43.8,24.2,63.3,0.0012,16
any_advice,Any advice to the court,Qwen/Qwen3.5-397B-A17B-FP8,configured_terse,46,48,95.8,39.6,21.5,57.7,0.0012,16
any_advice,Any advice to the court,Qwen/Qwen3.5-397B-A17B-FP8,ALL_CONFIGURED,,,,29.7,19.9,39.5,0.0,64
any_advice,Any advice to the court,deepseek-ai/DeepSeek-V4-Pro,neutral,8,48,16.7,,,,,
any_advice,Any advice to the court,deepseek-ai/DeepSeek-V4-Pro,configured_blunt,16,48,33.3,16.7,-1.2,34.6,0.1416,16
any_advice,Any advice to the court,deepseek-ai/DeepSeek-V4-Pro,configured_resource,18,48,37.5,20.8,0.3,41.4,0.0878,16
any_advice,Any advice to the court,deepseek-ai/DeepSeek-V4-Pro,configured_soft,35,48,72.9,56.2,39.7,72.8,0.0002,16
any_advice,Any advice to the court,deepseek-ai/DeepSeek-V4-Pro,configured_terse,27,48,56.2,39.6,26.0,53.2,0.0004,16
any_advice,Any advice to the court,deepseek-ai/DeepSeek-V4-Pro,ALL_CONFIGURED,,,,33.3,24.0,42.7,0.0,64
narrows,Advice narrows the dispute or goes further,Qwen/Qwen3.5-397B-A17B-FP8,neutral,4,48,8.3,,,,,
narrows,Advice narrows the dispute or goes further,Qwen/Qwen3.5-397B-A17B-FP8,configured_blunt,12,48,25.0,16.7,3.3,30.0,0.0637,16
